bat_t0,bat_t1,bat_t2,bat_t3,bat_t4,bat_t5,riot_sum,prot_sum,expl_sum,viol_sum,strat_sum,prevalenceUndernourishment,"Death rate, crude (per 1,000 people)",GDP per Capita,Military expenditure (% of GDP),prevalenceUndernourishment_y2,"Death rate, crude (per 1,000 people)_y2",GDP per Capita_y2,Military expenditure (% of GDP)_y2,rfc,iso3,date
2.0,1.0,0.0,0.0,0.0,1.0,29.0,91.0,173.0,13.0,21.0,2.5,5.1,41715.0292840432,4.34810126356225,2.5,5.1,40541.8620907084,4.4325638900397095,0.06,ISR,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.68,3.7896666666666654,50741.281001782605,4.159947295539514,18.75,4.542,8067.669473552455,5.369591192060986,0.011,COG,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.86,2.4793333333333334,59767.532719522,3.971793327516775,7.0,6.871,2436.8885875242718,3.6391781476500498,0.013,SWZ,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,1.169,68793.78443726139,3.783639359494037,6.3,1.169,61264.3964777979,5.326537596347866,0.004,QAT,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,245.0,197.0,0.0,0.0,3.0,3.22,2.3680000000000003,24050.7575053956,3.5954853914712994,16.200000000000006,2.3680000000000003,23715.4827473156,4.389060136856299,0.001,BHR,2019-01-01
1.0,0.0,0.0,1.0,0.0,0.0,8.0,176.0,0.0,4.0,6.0,3.4,5.072,3237.8833681566603,3.10442662748775,3.4,5.072,3036.1710616068394,3.18502663678811,0.0,MAR,2019-01-01
16.0,14.0,20.0,17.0,12.0,7.0,9.0,51.0,50.0,131.0,56.0,6.3,9.984,899.659908096615,2.8650192995004,6.3,9.984,828.5119764015241,3.01190768930655,0.789,MLI,2019-01-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.8,2.6010000000000004,33994.4065667831,5.05553177566242,2.8,2.6010000000000004,29759.532447140802,5.63471639461406,0.0,KWT,2019-01-01
1.0,0.0,0.0,2.0,3.0,2.0,14.0,1134.0,3.0,1.0,27.0,15.349999999999998,5.7825000000000015,17246.681893495876,3.024818486549416,30.45,7.356999999999998,445.5811143219369,1.5267885504677745,0.098,IRN,2019-01-01
0.0,0.0,3.0,0.0,1.0,2.0,18.0,10.0,1.0,40.0,8.0,27.9,8.964,498.95722020865196,0.9941051974364109,27.9,8.964,461.415094120589,1.02164265203857,0.012,MOZ,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,26.4,5.834,8258.641665746909,2.78232195396813,26.4,5.834,7893.210107711159,3.0216559053007,0.0,BWA,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,27.3,8.23,5931.453886116171,3.3496331905387997,27.3,8.23,5646.45600811344,3.55452276699843,0.002,NAM,2019-02-01
67.0,56.0,41.0,61.0,60.0,67.0,26.0,117.0,705.0,135.0,62.0,29.0,4.8260000000000005,5834.166210760611,2.72652780753896,29.0,4.8260000000000005,5205.28825481948,3.8386612850878197,0.977,IRQ,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.9,7.292999999999999,3082.5430987195696,3.6880710661508296,18.9,7.292999999999999,2930.7031716534198,3.6880710661508296,0.002,DJI,2019-02-01
53.0,67.0,51.0,41.0,32.0,31.0,112.0,187.0,42.0,194.0,58.0,13.4,12.114,2028.1819701759803,0.506584947663024,13.4,12.114,1968.5595883057501,0.430671213892571,0.261,NGA,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,4.0,0.0,17.5,6.811,389.398033178836,0.8461269383180899,17.5,6.811,356.71757315336896,0.762728731361402,0.002,MWI,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,13.1,14.655999999999999,1299.15312598733,1.8099529808638601,13.1,14.655999999999999,1226.6126297762,2.01259762454174,0.0,LSO,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.05,9.4595,4784.470400753279,3.401922148324225,2.95,5.086,21789.016576157617,3.80879526341391,0.003,GMB,2019-02-01
2.0,1.0,3.0,3.0,6.0,0.0,14.0,57.0,5.0,6.0,20.0,11.0,4.263,8269.78767551923,4.993891315784589,11.0,4.263,7838.34338489943,4.59676966111758,0.066,LBN,2019-02-01
0.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,0.0,8.0,4.0,30.7,6.622000000000001,1050.6752537984598,1.2118635133876001,30.7,6.622000000000001,1004.8411206644099,1.1793767853612,0.001,TZA,2019-02-01
0.0,1.0,0.0,0.0,1.0,0.0,227.0,328.0,0.0,14.0,10.0,6.2,9.498,6374.02819575944,0.981709721430103,6.2,9.498,6132.4798409721,1.04366339589233,0.001,ZAF,2019-02-01
0.0,2.0,0.0,1.0,1.0,0.0,26.0,28.0,0.0,40.0,6.0,51.3,8.044,2146.99638487707,2.16960636324343,51.3,8.044,1602.40350699048,1.9301341465608999,0.002,ZWE,2019-02-01
0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,0.0,10.1,9.025,901.5438712063569,0.863004044861682,10.1,9.025,829.478802783315,1.2641029660741598,0.0,BEN,2019-02-01
90.0,68.0,47.0,48.0,54.0,56.0,84.0,85.0,3.0,268.0,106.0,15.1,8.142999999999999,939.408753465387,1.570652959105461,11.4,11.380999999999998,759.8051302303073,1.9416249104516798,0.56,COD,2019-02-01
9.0,12.0,5.0,10.0,10.0,12.0,41.0,332.0,11.0,127.0,28.0,20.1,7.261,977.273635724417,2.27830187334924,20.1,7.261,3015.02442975186,3.910878363484,0.17,SDN,2019-02-01
0.0,1.0,0.0,0.0,2.0,0.0,2.0,21.0,1.0,14.0,3.0,25.0,8.432,3432.38573600893,1.77713755353982,25.0,8.432,4095.8129415585704,2.4211128376509703,0.01,AGO,2019-02-01
1.0,0.0,1.0,1.0,0.0,0.0,2.0,51.0,2.0,4.0,12.0,12.2,3.843,4241.78878213854,4.682528726008179,12.2,3.843,4162.820686572561,4.841143745217691,0.013,JOR,2019-02-01
17.0,31.0,23.0,12.0,49.0,33.0,5.0,7.0,8.0,182.0,39.0,14.35,10.574000000000002,1119.65133182314,1.32920833296659,10.85,10.574000000000002,1119.65133182314,2.35286936717433,0.91,SSD,2019-02-01
1.0,1.0,0.0,1.0,0.0,0.0,31.0,56.0,0.0,15.0,3.0,16.5,8.715,878.599613250501,2.46740138641465,16.5,8.715,855.573639877367,2.7083201064926805,0.0,GIN,2019-02-01
18.0,20.0,15.0,22.0,47.0,34.0,7.0,24.0,9.0,159.0,63.0,9.9,9.501,1533.74213975885,1.25032908627177,9.9,9.501,1421.5874924368802,1.3061757689993798,0.799,CMR,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.15,9.542,10261.7600116887,0.17916867981852397,9.05,9.542,9738.43422416926,0.17916867981852397,0.0,GNQ,2019-02-01
0.0,0.0,1.0,0.0,0.0,0.0,2.0,50.0,0.0,1.0,2.0,10.4,7.3389999999999995,1188.8345875397301,3.01925207389013,10.4,7.3389999999999995,1145.5479472739098,2.9071535653839,0.0,MRT,2019-02-01
0.0,1.0,2.0,3.0,0.0,2.0,33.0,356.0,4.0,15.0,62.0,3.9,4.717,4114.71506136896,5.27141404556567,3.9,4.717,4044.2983722652293,6.014253329225941,0.027,DZA,2019-02-01
0.0,1.0,0.0,0.0,1.0,0.0,9.0,240.0,0.0,4.0,7.0,3.4,5.072,3237.8833681566603,3.10442662748775,3.4,5.072,3036.1710616068394,3.18502663678811,0.001,MAR,2019-02-01
15.0,16.0,14.0,20.0,17.0,12.0,12.0,41.0,54.0,146.0,54.0,6.3,9.984,899.659908096615,2.8650192995004,6.3,9.984,828.5119764015241,3.01190768930655,0.882,MLI,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.8,2.6010000000000004,33994.4065667831,5.05553177566242,2.8,2.6010000000000004,29759.532447140802,5.63471639461406,0.0,KWT,2019-02-01
